dam_name,company_name,latitude,longitude,state,city,risk_category,potential_damage
E (Mina Barreiro),Vale Fertilizantes S A,-19.653,-46.953,MG,Araxá,BAIXO,ALTO
Finos de CDS I,ANGLOGOLD  ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,-20.019000000000002,-43.493,MG,Santa Bárbara,BAIXO,ALTO
Itamarati de Minas,COMPANHIA BRASILEIRA DE ALUMINIO,-21.455,-42.871,MG,Itamarati De Minas,BAIXO,ALTO
Malaquias,"NIKI MINERAÇÃO, COMÉRCIO E EXPORTAÇÃO LTDA.",-19.543,-43.086000000000006,MG,Antônio Dias,MÉDIO,BAIXO
Marçu,Nacional de Grafite Ltda,-15.889000000000001,-41.06,MG,Pedra Azul,BAIXO,MÉDIO
MIRAÍ/MG,COMPANHIA BRASILEIRA DE ALUMINIO,-21.061999999999998,-42.56399999999999,MG,Miraí,BAIXO,ALTO
Moita,Mineração Serras do Oeste Ltda,-19.936,-43.646,MG,Caeté,BAIXO,ALTO
Pilha Barragem,EXTRATIVA MINERAL LTDA,-20.112000000000002,-43.908,MG,Nova Lima,BAIXO,BAIXO
Rancho Casca,Nacional de Grafite Ltda,-15.919,-41.038999999999994,MG,Pedra Azul,BAIXO,ALTO
Rapaunha,ANGLOGOLD  ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,-19.965,-43.841,MG,Nova Lima,BAIXO,ALTO
RG2 E,Mineração Serras do Oeste Ltda,-19.957,-43.628,MG,Caeté,MÉDIO,BAIXO
RG2W,Mineração Serras do Oeste Ltda,-19.958,-43.63399999999999,MG,Caeté,MÉDIO,ALTO
Santa Bárbara,Vallourec Mineração Ltda.,-20.162,-44.006,MG,Brumadinho,BAIXO,ALTO
SANTO ANTÔNIO,"NIKI MINERAÇÃO, COMÉRCIO E EXPORTAÇÃO LTDA.",-19.535,-43.03,MG,Antônio Dias,MÉDIO,BAIXO
Tanque Específico IX B,KINROSS BRASIL MINERAÇÃO S. A.,-17.175,-46.881,MG,Paracatu,BAIXO,MÉDIO
Tanque Específico X,KINROSS BRASIL MINERAÇÃO S. A.,-17.177,-46.886,MG,Paracatu,BAIXO,MÉDIO
Tanque Específico XI,KINROSS BRASIL MINERAÇÃO S. A.,-17.174,-46.88399999999999,MG,Paracatu,BAIXO,MÉDIO
Tanque Específico XII,KINROSS BRASIL MINERAÇÃO S. A.,-17.182000000000002,-46.882,MG,Paracatu,BAIXO,MÉDIO
Turmalina,MINERAÇÃO TURMALINA LTDA.,-19.746,-44.873999999999995,MG,Conceição Do Pará,BAIXO,ALTO
Volta Grande 1,AMG MINERAÇÃO S.A,-21.086,-44.586999999999996,MG,Nazareno,BAIXO,ALTO
Volta Grande 2,AMG MINERAÇÃO S.A,-21.088,-44.589,MG,Nazareno,BAIXO,ALTO
B1,Mineração Marsil Ltda.,-19.55,-43.022,MG,Antônio Dias,no data,no data
B1,Cimento Tupi,-20.903000000000002,-44.815,MG,Carnaiba,no data,no data
B3,Mineração Marsil Ltda.,-19.548,-43.022,MG,Antônio Dias,no data,no data
